Nombre,Fecha,4G Health,4G Accessibility,4G Availability,4G Integrity,4G Mobility,4G Resource,4G Retainability
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 13:00",98.91%,99.72%,100.00%,98.78%,96.10%,98.83%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 14:00",98.33%,99.67%,100.00%,95.63%,96.18%,98.50%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 15:00",98.73%,99.66%,99.31%,98.91%,96.13%,98.39%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 16:00",98.81%,98.94%,100.00%,99.30%,96.00%,98.61%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 17:00",98.80%,99.75%,100.00%,99.40%,95.94%,97.72%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 18:00",98.83%,99.63%,100.00%,99.36%,96.25%,97.72%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 19:00",98.56%,99.73%,99.65%,97.57%,96.32%,98.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 20:00",98.75%,99.59%,100.00%,97.90%,96.50%,98.53%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 21:00",98.80%,99.03%,100.00%,98.56%,96.48%,98.75%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 22:00",98.86%,99.28%,100.00%,99.06%,96.43%,98.42%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"2/03/16, 23:00",98.77%,99.36%,98.78%,98.94%,96.89%,98.64%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 00:00",98.89%,99.83%,98.09%,98.88%,97.47%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 01:00",98.61%,99.41%,99.83%,96.17%,97.15%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 02:00",99.07%,99.77%,99.65%,98.92%,96.99%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 03:00",99.16%,99.87%,99.91%,99.16%,96.95%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 04:00",99.34%,99.77%,100.00%,99.50%,97.67%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 05:00",98.98%,99.81%,100.00%,97.72%,97.26%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 06:00",99.23%,99.94%,100.00%,99.06%,97.30%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 07:00",99.12%,99.70%,100.00%,99.28%,96.80%,98.97%,100.00%
MobileAccess_4G_1_4G_Access_Site_PLUMEREAUX,"3/03/16, 08:00",98.97%,99.72%,98.61%,99.61%,96.91%,98.97%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 13:00",98.73%,99.22%,100.00%,98.52%,99.62%,95.01%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 14:00",98.87%,99.32%,100.00%,98.90%,99.65%,95.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 15:00",98.82%,99.53%,99.31%,98.94%,99.66%,95.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 16:00",99.12%,98.89%,100.00%,98.83%,99.67%,97.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 17:00",98.70%,99.40%,100.00%,98.48%,99.65%,94.68%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 18:00",98.57%,99.42%,100.00%,98.33%,99.57%,95.12%,99.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 19:00",99.39%,99.60%,100.00%,98.83%,99.55%,98.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 20:00",99.38%,99.66%,100.00%,98.37%,99.66%,98.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 21:00",99.47%,99.70%,100.00%,98.46%,99.51%,99.12%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 22:00",99.36%,99.20%,100.00%,98.14%,99.57%,99.24%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"2/03/16, 23:00",99.28%,99.84%,98.78%,98.03%,99.57%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 00:00",99.03%,99.84%,98.61%,97.02%,99.38%,99.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 01:00",98.77%,99.93%,99.83%,93.50%,99.80%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 02:00",99.45%,99.88%,99.83%,97.57%,99.84%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 03:00",99.45%,99.81%,99.91%,97.49%,99.94%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 04:00",99.67%,99.97%,100.00%,98.52%,99.95%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 05:00",99.61%,99.73%,100.00%,98.43%,99.91%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 06:00",99.38%,99.76%,100.00%,97.17%,99.80%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 07:00",99.55%,99.92%,100.00%,98.28%,99.64%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_STADE_DES_ALPES,"3/03/16, 08:00",99.27%,99.38%,98.61%,99.28%,99.55%,98.79%,100.00%
